============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed= 9  wiql_ucb                rate=0.213  reward=0.162
    seed= 9  wiql_ucb_no_bias        rate=0.492  reward=0.377
    seed=10  round_robin             rate=0.316  reward=0.215
    seed=10  random                  rate=0.317  reward=0.215
    seed=10  wiql_ucb                rate=0.105  reward=0.071
    seed=10  wiql_ucb_no_bias        rate=0.536  reward=0.365
    seed=11  round_robin             rate=0.303  reward=0.234
    seed=11  random                  rate=0.306  reward=0.236
    seed=11  wiql_ucb                rate=0.334  reward=0.258
    seed=11  wiql_ucb_no_bias        rate=0.399  reward=0.307
    seed=12  round_robin             rate=0.331  reward=0.237
    seed=12  random                  rate=0.335  reward=0.240
    seed=12  wiql_ucb                rate=0.359  reward=0.257
    seed=12  wiql_ucb_no_bias        rate=0.606  reward=0.434
    seed=13  round_robin             rate=0.283  reward=0.202
    seed=13  random                  rate=0.274  reward=0.196
    seed=13  wiql_ucb                rate=0.190  reward=0.135
    seed=13  wiql_ucb_no_bias        rate=0.314  reward=0.224
    seed=14  round_robin             rate=0.333  reward=0.271
    seed=14  random                  rate=0.325  reward=0.265
    seed=14  wiql_ucb                rate=0.190  reward=0.155
    seed=14  wiql_ucb_no_bias        rate=0.461  reward=0.377
    seed=15  round_robin             rate=0.266  reward=0.210
    seed=15  random                  rate=0.274  reward=0.216
    seed=15  wiql_ucb                rate=0.064  reward=0.050
    seed=15  wiql_ucb_no_bias        rate=0.286  reward=0.226
    seed=16  round_robin             rate=0.314  reward=0.207
    seed=16  random                  rate=0.315  reward=0.207
    seed=16  wiql_ucb                rate=0.364  reward=0.240
    seed=16  wiql_ucb_no_bias        rate=0.445  reward=0.293
    seed=17  round_robin             rate=0.355  reward=0.261
    seed=17  random                  rate=0.363  reward=0.267
    seed=17  wiql_ucb                rate=0.613  reward=0.451
    seed=17  wiql_ucb_no_bias        rate=0.556  reward=0.409
    seed=18  round_robin             rate=0.363  reward=0.235
    seed=18  random                  rate=0.368  reward=0.238
    seed=18  wiql_ucb                rate=0.571  reward=0.370
    seed=18  wiql_ucb_no_bias        rate=0.542  reward=0.351
    seed=19  round_robin             rate=0.327  reward=0.225
    seed=19  random                  rate=0.330  reward=0.227
    seed=19  wiql_ucb                rate=0.121  reward=0.083
    seed=19  wiql_ucb_no_bias        rate=0.483  reward=0.333
    seed=20  round_robin             rate=0.201  reward=0.131
    seed=20  random                  rate=0.202  reward=0.132
    seed=20  wiql_ucb                rate=0.143  reward=0.093
    seed=20  wiql_ucb_no_bias        rate=0.334  reward=0.218
    seed=21  round_robin             rate=0.314  reward=0.287
    seed=21  random                  rate=0.312  reward=0.284
    seed=21  wiql_ucb                rate=0.293  reward=0.268
    seed=21  wiql_ucb_no_bias        rate=0.485  reward=0.443
    seed=22  round_robin             rate=0.337  reward=0.242
    seed=22  random                  rate=0.338  reward=0.243
    seed=22  wiql_ucb                rate=0.487  reward=0.350
    seed=22  wiql_ucb_no_bias        rate=0.489  reward=0.352
    seed=23  round_robin             rate=0.339  reward=0.272
    seed=23  random                  rate=0.339  reward=0.272
    seed=23  wiql_ucb                rate=0.366  reward=0.294
    seed=23  wiql_ucb_no_bias        rate=0.427  reward=0.343
    seed=24  round_robin             rate=0.321  reward=0.200
    seed=24  random                  rate=0.321  reward=0.200
    seed=24  wiql_ucb                rate=0.408  reward=0.254
    seed=24  wiql_ucb_no_bias        rate=0.476  reward=0.297
    seed=25  round_robin             rate=0.319  reward=0.215
    seed=25  random                  rate=0.317  reward=0.214
    seed=25  wiql_ucb                rate=0.433  reward=0.292
    seed=25  wiql_ucb_no_bias        rate=0.565  reward=0.382
    seed=26  round_robin             rate=0.335  reward=0.244
    seed=26  random                  rate=0.334  reward=0.243
    seed=26  wiql_ucb                rate=0.362  reward=0.264
    seed=26  wiql_ucb_no_bias        rate=0.436  reward=0.318
    seed=27  round_robin             rate=0.297  reward=0.202
    seed=27  random                  rate=0.303  reward=0.206
    seed=27  wiql_ucb                rate=0.236  reward=0.160
    seed=27  wiql_ucb_no_bias        rate=0.364  reward=0.248
    seed=28  round_robin             rate=0.289  reward=0.180
    seed=28  random                  rate=0.291  reward=0.181
    seed=28  wiql_ucb                rate=0.179  reward=0.111
    seed=28  wiql_ucb_no_bias        rate=0.434  reward=0.271
    seed=29  round_robin             rate=0.353  reward=0.239
    seed=29  random                  rate=0.352  reward=0.238
    seed=29  wiql_ucb                rate=0.676  reward=0.458
    seed=29  wiql_ucb_no_bias        rate=0.702  reward=0.476
    Wilcoxon WIQL vs round_robin: p=0.8035
    Wilcoxon WIQL vs random: p=0.8091

  → results/test1_raw.csv
  → results/test1_summary.md
  → results/test1_barchart.png

[Test 2] Periodic Module vs Jitter

  Jitter ratio: 0.00 | seeds=30 dt=100μs
    seed= 0  wiql=0.014  rr=0.364
    seed= 1  wiql=0.028  rr=0.171
    seed= 2  wiql=0.511  rr=0.256
    seed= 3  wiql=0.770  rr=0.303
    seed= 4  wiql=0.154  rr=0.371
    seed= 5  wiql=0.131  rr=0.088
    seed= 6  wiql=0.021  rr=0.365
    seed= 7  wiql=0.117  rr=0.326
    seed= 8  wiql=0.106  rr=0.306
    seed= 9  wiql=0.043  rr=0.247
    seed=10  wiql=0.009  rr=0.354
    seed=11  wiql=0.841  rr=0.360
    seed=12  wiql=0.476  rr=0.318
    seed=13  wiql=0.142  rr=0.182
    seed=14  wiql=0.400  rr=0.358
    seed=15  wiql=0.089  rr=0.357
    seed=16  wiql=0.049  rr=0.321
    seed=17  wiql=0.191  rr=0.350
    seed=18  wiql=0.189  rr=0.344
    seed=19  wiql=0.034  rr=0.250
    seed=20  wiql=0.290  rr=0.344
    seed=21  wiql=0.438  rr=0.362
    seed=22  wiql=0.505  rr=0.333
    seed=23  wiql=0.143  rr=0.373
    seed=24  wiql=0.675  rr=0.363
    seed=25  wiql=0.656  rr=0.242
    seed=26  wiql=0.117  rr=0.362
    seed=27  wiql=0.125  rr=0.267
    seed=28  wiql=0.005  rr=0.196
    seed=29  wiql=0.575  rr=0.261

  Jitter ratio: 0.01 | seeds=30 dt=100μs
    seed= 0  wiql=0.027  rr=0.353
    seed= 1  wiql=0.025  rr=0.173
    seed= 2  wiql=0.519  rr=0.252
    seed= 3  wiql=0.772  rr=0.308
    seed= 4  wiql=0.145  rr=0.357
    seed= 5  wiql=0.124  rr=0.086
    seed= 6  wiql=0.038  rr=0.359
    seed= 7  wiql=0.090  rr=0.332
    seed= 8  wiql=0.105  rr=0.312
    seed= 9  wiql=0.042  rr=0.251
    seed=10  wiql=0.019  rr=0.375
    seed=11  wiql=0.840  rr=0.347
    seed=12  wiql=0.468  rr=0.318
    seed=13  wiql=0.148  rr=0.198
    seed=14  wiql=0.394  rr=0.363
    seed=15  wiql=0.087  rr=0.357
    seed=16  wiql=0.041  rr=0.360
    seed=17  wiql=0.187  rr=0.354
    seed=18  wiql=0.156  rr=0.355
    seed=19  wiql=0.031  rr=0.250
    seed=20  wiql=0.317  rr=0.363
    seed=21  wiql=0.443  rr=0.366
    seed=22  wiql=0.494  rr=0.357
    seed=23  wiql=0.142  rr=0.369
    seed=24  wiql=0.666  rr=0.380
    seed=25  wiql=0.672  rr=0.224
    seed=26  wiql=0.139  rr=0.369
    seed=27  wiql=0.118  rr=0.291
